,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Population of three races:,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some Other Race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some Other Race,White; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some Other Race,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some Other Race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of four races:,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some Other Race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some Other Race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of five races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of six races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Alabama,100.0,4.259610136511958,95.74038986348803,92.67838023714083,65.46937250042505,24.93465939406193,0.4630133111540333,1.5316430296801309,0.047789652008620516,0.2319023498110624,3.062009626347211,2.930434911361939,0.44851303212577665,1.544764761054293,0.25324430978927115,0.02152066060003584,0.4372548929506689,0.115644830982399,0.02744330978059138,0.006382165065253809,0.05167000836829483,0.003956942340457362,0.0007148024873084265,0.003063439231321828,0.01141131113667381,0.004212228943067513,0.0006382165065253808,0.11794241040589037,0.06259627496000936,0.007530954776999494,0.001761477558010051,0.008781859129789241,0.011385782476412793,0.001991235500359188,0.00541207597533523,0.009215846354226499,0.0019401781798371578,0.00045951588469827424,0.001863592199054112,0.0003063439231321828,0.001404076314355838,0.0019401781798371578,0.0007913884680914722,0.00028081526287116756,0.0001531719615660914,0.00010211464104406095,0.0,2.5528660261015238e-05,0.011283667835368733,0.0034718977954980718,0.0007148024873084265,0.003701655737847209,0.0008935031091355332,0.00053610186548132,0.0,0.00048504454495928946,0.00053610186548132,0.0,7.65859807830457e-05,0.0003829299039152285,0.0,5.1057320522030476e-05,0.00033187258339319805,0.00010211464104406095,0.0023486367440134015,0.0011743183720067008,0.0009445604296575636,0.00012764330130507617,0.0,5.1057320522030476e-05,5.1057320522030476e-05,0.0,0.0
Alaska,100.0,6.036248901179236,93.96375109882077,86.26000220215414,61.476201392411234,2.9902365149647205,13.540901403060996,6.189497168787895,1.4660570430124025,0.5971086799168958,7.7037488966666245,7.214942879370689,0.4447629344967446,4.158822244644885,0.8572155746449027,0.13664185934011186,0.9981895404898529,0.1657030738100696,0.04747266711552103,0.01823094820786169,0.03898895854354579,0.12563108864031422,0.03519836535181217,0.03231029434858656,0.1453060723497887,0.01028875294899125,0.00018050443770160088,0.4424163768066238,0.1382663992794263,0.018772461520966493,0.005776142006451228,0.012996319514515265,0.12761663745503182,0.0202164970225793,0.021299523648788905,0.07382631501995476,0.004693115380241623,0.00036100887540320176,0.0037905931917336187,0.0,0.0021660532524192108,0.0023465576901208116,0.0,0.0005415133131048027,0.006317655319556032,0.0,0.0007220177508064035,0.0027075665655240133,0.041155011795965,0.013357328389918465,0.0027075665655240133,0.0037905931917336187,0.003249079878628816,0.0009025221885080045,0.0,0.012093797326007261,0.00198554881471761,0.00018050443770160088,0.00036100887540320176,0.00018050443770160088,0.00036100887540320176,0.0,0.0,0.00198554881471761,0.00415160206713682,0.003068575440927215,0.0,0.0,0.00036100887540320176,0.00036100887540320176,0.00036100887540320176,0.0010830266262096054,0.0010830266262096054
Arizona,100.0,26.878806404069593,73.12119359593041,69.97713450942408,58.06762786414088,4.274540344454757,3.418870814308831,3.6051401160885574,0.19108707796641486,0.41986829246463714,3.1440590865063287,2.9599370332892097,0.47259316893469044,0.9372649755249752,0.5750656444560568,0.06531966215660263,0.6578159125914655,0.07556871411929608,0.0426923537741773,0.006622186743500874,0.037315210314876855,0.011006904396554586,0.004709511553279913,0.005250834720323581,0.056893064856289526,0.010194919645989085,0.0016239695011310044,0.16759365251671968,0.05983425406389345,0.020840941931181224,0.0027968363630589523,0.012107594836210045,0.014778122460292142,0.002706615835218341,0.005828246098503494,0.03682801946453756,0.0036990416414650657,0.0004330585336349345,0.002111160351470306,0.00046914674477117907,0.0012811314953366814,0.0017502782401078603,0.0006495878004524018,0.00014435284454497818,0.000866117067269869,5.4132316704366816e-05,3.6088211136244546e-05,0.0003789262169305677,0.014038314131999127,0.005016261347937992,0.0007939406449973801,0.002923145102035808,0.0013533079176091705,0.0009022052784061137,3.6088211136244546e-05,0.001912675190220961,0.00016239695011310045,9.022052784061136e-05,0.0004330585336349345,0.00028870568908995637,3.6088211136244546e-05,3.6088211136244546e-05,5.4132316704366816e-05,0.0,0.002327689618287773,0.0011548227563598255,0.0009563375951104805,0.00014435284454497818,5.4132316704366816e-05,0.0,1.8044105568122273e-05,0.00016239695011310045,0.00016239695011310045
Arkansas,100.0,7.006179633633226,92.99382036636678,88.82528144384335,71.52148556852931,14.325081856683877,0.6785963422139168,1.715844106643117,0.3567917802093438,0.22748178956377554,4.168538922523422,4.017345702691681,0.4545311042424489,2.3995868999897505,0.2553764196528697,0.028327104974196382,0.69083538146231,0.0944525149063281,0.018120697685783643,0.004281501362512125,0.03996067938344651,0.00471397624761436,0.002162374425511175,0.0037625315003894434,0.014833888559006655,0.005492431040798384,0.0009081972587146932,0.13865144816377653,0.07507764005374798,0.005838410948880171,0.0017298995404089394,0.010119912311392296,0.015396105909639562,0.002162374425511175,0.009471199983738944,0.009903674868841179,0.0026813442876338564,0.0003892273965920114,0.0008649497702044697,0.00021623744255111743,0.0022488694025316214,0.0014704146093475988,0.00021623744255111743,4.324748851022349e-05,0.0003027324195715644,0.00017298995404089397,0.0,0.00034597990808178794,0.010638882173514979,0.003805778988899667,0.0006054648391431288,0.0032868091267769855,8.649497702044698e-05,0.0003027324195715644,0.0,0.0007352073046737994,0.0003027324195715644,0.00034597990808178794,0.00025948493106134097,0.00025948493106134097,0.0003027324195715644,0.0,0.00034597990808178794,0.0,0.00185964200593961,0.0010379397242453639,0.0007784547931840228,4.324748851022349e-05,0.0,0.0,0.0,4.324748851022349e-05,4.324748851022349e-05
California,100.0,35.95308090072032,64.04691909927968,60.556266960520624,37.86569319434958,5.496396758631731,0.3978868596321322,15.915516555965928,0.35416235160583515,0.5266112403354126,3.4906521387590566,3.240612441551031,0.424700924721929,0.7061448034124514,1.0346900884789538,0.083267630872247,0.5628390989033839,0.07604346888882366,0.08347848427544526,0.012793935726368078,0.0734386183846975,0.017082369557569546,0.003195240033081277,0.004596604189721999,0.11957658690298684,0.02816028297175489,0.01060430423161695,0.22419555777294042,0.06701569933342752,0.02745960089343453,0.003714263794800063,0.015479883693262796,0.02447845816206225,0.004132726702685835,0.0054302861069828,0.053199935576175576,0.007029528072778809,0.0008239502217285729,0.0036558736216066997,0.0007720478455566943,0.002549704229443537,0.0035682883618166545,0.0018328026585694636,0.0004346824004394834,0.001005608538330148,0.00023356069277345376,5.5146274682621026e-05,0.0013235105923829046,0.022804606530519165,0.008476306808569926,0.0011548278698242992,0.004619311479297197,0.002033924366235493,0.0014889494164307677,0.000149219331494151,0.0028546306894533234,0.0004541457915039378,7.46096657470755e-05,0.0006228285140625433,0.00034060934362795337,0.00025626798234865063,7.136576723633309e-05,0.00016219492553712066,4.541457915039379e-05,0.0027021674594484304,0.001475973822387798,0.000934242771093815,0.00012975594042969653,0.00010380475234375724,5.839017319336344e-05,0.0,0.000337365445117211,0.000337365445117211
Colorado,100.0,19.16357546696186,80.83642453303814,77.06227813878733,68.64645367990249,3.7282218993537306,0.5974397593033137,3.458529138881349,0.1473752743051675,0.4842583870412651,3.7741463942508124,3.577187744479747,0.4848349379187755,1.2137282972944685,0.7176949673317403,0.06009434146358771,0.889285378492346,0.06257794524363267,0.04656757087584287,0.006120309315110778,0.03168812322932356,0.007539511475136465,0.0020844531725377285,0.005299833066345927,0.038784134029451994,0.009468739411421383,0.0014192021600256876,0.1795512482769999,0.0682547538837354,0.02024580581411645,0.0017961777337825106,0.011242742111453494,0.018117002574077917,0.0026388290162977627,0.0080938873188965,0.03554657910189339,0.00421325641257626,0.0005765508775104355,0.0028384043200513753,0.0005765508775104355,0.001197451822521674,0.0018405278012833136,0.0009091763837664562,0.00015522523625280957,0.0006209009450112383,0.00017740027000321095,0.0,0.0005100257762592315,0.0145911722077641,0.004745457222585892,0.001086576653769667,0.002661004050048164,0.0012418018900224766,0.000598725911260837,0.00039915060750722456,0.002461428746294552,0.0003769755737568233,0.00015522523625280957,0.000598725911260837,0.00011087516875200683,6.652510125120411e-05,4.435006750080274e-05,4.435006750080274e-05,0.0,0.002417078678793749,0.0017740027000321093,0.00031045047250561914,0.00026610040500481643,4.435006750080274e-05,2.217503375040137e-05,0.0,0.00039915060750722456,0.00039915060750722456
Connecticut,100.0,15.010837413700623,84.98916258629937,81.93516929821168,66.70064794455092,9.726661571217614,0.1731128279498276,4.630480613768099,0.02638341267526062,0.6778829280499591,3.0539932880876974,2.89290460461999,0.5323733535199551,0.6273466686323529,0.3837270456467892,0.017496001536302284,0.9621058215331167,0.1120510855362786,0.03708315863471241,0.011257387442680554,0.15220127232874917,0.00745845483818464,0.0012895459299665031,0.004321721495022876,0.01652012894065196,0.02356035266641503,0.0041126059388120915,0.14582324786432027,0.07054164762843791,0.014428973378544116,0.0013941037080718954,0.024048288964240192,0.006691697798745097,0.0006621992613341503,0.0036595222336887256,0.00826006447032598,0.004600542236637255,0.00031367333431617646,0.0031367333431617643,0.00027882074161437906,0.002892765194249183,0.0006970518540359477,0.002718502230740196,0.00048793629782516336,0.00024396814891258168,0.0003833785197197712,0.0,0.0003833785197197712,0.01317428004127941,0.004252016309619281,0.0007667570394395424,0.005332446683374999,0.0007667570394395424,0.0010107251883521241,0.00024396814891258168,0.00027882074161437906,0.0,0.00010455777810539214,0.00017426296350898693,0.00017426296350898693,0.0,0.0,6.970518540359476e-05,0.0,0.0017077770423880717,0.0011152829664575162,0.00045308370512336596,3.485259270179738e-05,6.970518540359476e-05,0.0,3.485259270179738e-05,0.0003833785197197712,0.0003833785197197712
Delaware,100.0,8.666531383727506,91.3334686162725,87.97960035377766,62.43767093828928,20.621203941583296,0.2667371158953625,4.237419005721447,0.030630099432960283,0.38593925285529956,3.3538682624948466,3.1344801753062694,0.743545663735111,0.8839336194695122,0.3623285512090593,0.02297257457472021,0.6396585764916539,0.24044628054873826,0.06381270715200059,0.012252039773184113,0.12417952811779316,0.007274648615328068,0.0,0.004849765743552045,0.014421671816352134,0.013655919330528128,0.0011486287287360106,0.20062715128588987,0.12009551486006512,0.02016481546003219,0.0007657524858240071,0.015187424302176141,0.010592909387232098,0.00216963204316802,0.005105016572160047,0.010592909387232098,0.0025525082860800236,0.0005105016572160047,0.005870769057984055,0.00216963204316802,0.0017867558002560167,0.0010210033144320094,0.0007657524858240071,0.0,0.0,0.0,0.0,0.0012762541430400118,0.015825551373696147,0.007019397786720065,0.0008933779001280084,0.003956387843424037,0.0007657524858240071,0.0011486287287360106,0.0005105016572160047,0.00038287624291200354,0.0,0.0,0.0,0.0,0.0,0.0,0.0010210033144320094,0.00012762541430400118,0.0022972574574720212,0.0008933779001280084,0.0005105016572160047,0.0,0.0008933779001280084,0.0,0.0,0.0006381270715200059,0.0006381270715200059
District of Columbia,100.0,10.49706082296957,89.50293917703043,85.77528726739122,40.81761454618793,38.865639360109604,0.18481781622884721,5.354153011069944,0.05302863024440113,0.5000339035504842,3.727651909639214,3.3973096228708135,0.8688002142008933,0.25418969645021133,0.9322607061327176,0.029556941447698992,0.5179419327805606,0.3007853453207015,0.1580427045644611,0.0151261994467636,0.25332037464292606,0.009214811157223803,0.0024341010603987404,0.005737523928082746,0.025905789857100882,0.023471688796702143,0.0005215930843711587,0.2993944304290451,0.15126199446763602,0.03668538026743816,0.002607965421855793,0.0450308696173767,0.007823896265567381,0.0,0.0043466090364263224,0.01634324997696297,0.007997760627024434,0.0006954574458282116,0.006954574458282115,0.00417274467496927,0.006259117012453905,0.0036511515905981104,0.0043466090364263224,0.0005215930843711587,0.0001738643614570529,0.0,0.0,0.0005215930843711587,0.028513755278956675,0.012170505301993702,0.0008693218072852644,0.008867082434309698,0.0017386436145705288,0.0038250159520551636,0.0,0.0,0.0,0.0,0.0003477287229141058,0.0006954574458282116,0.0,0.0,0.0,0.0,0.0024341010603987404,0.0015647792531134762,0.0001738643614570529,0.0,0.0,0.0006954574458282116,0.0,0.0,0.0
Florida,100.0,24.987756089773757,75.01224391022625,71.93027926496399,54.654669826206835,13.523718928266257,0.19920720825466778,2.945983997445792,0.052061129351057764,0.5546381754393735,3.0819646452622584,2.933209498552185,0.48901243146178563,0.8148630804409329,0.37629117598749473,0.025047245460467917,0.8706325631954173,0.0713757102967421,0.07733329826834315,0.017422917001168218,0.12933675493816565,0.006297856790889009,0.0010438755303579766,0.003754491548414601,0.018945475785778747,0.02721573827491321,0.004636883571313885,0.1333334717477683,0.04652455195247402,0.023063305225975404,0.0017878531182926672,0.016067608992139906,0.010531031593556162,0.001551395125228153,0.004060156758961412,0.011586441660161187,0.005824940804759981,0.000582494080475998,0.0017993876545397166,0.00034026881928795927,0.0015744641977222522,0.0024107180756333386,0.0038583023746380464,0.0007728139285523143,0.0003345015511644345,0.00017301804370574198,1.1534536247049466e-05,0.0004786832542525528,0.013149371321636393,0.004510003672596341,0.0006343994935877206,0.002981677619862287,0.0008074175372934625,0.0019551038938748844,0.00016725077558221724,0.0007209085154405916,0.0001960871161998409,4.037087686467313e-05,0.00024222526118803877,0.00018455257995279146,0.0001960871161998409,6.92072174822968e-05,0.0003691051599055829,7.497448560582152e-05,0.0020819837925924287,0.0010035046534933034,0.0007439775879346906,9.227628997639573e-05,7.497448560582152e-05,2.883634061762366e-05,0.0001384144349645936,0.0001903198480763162,0.0001903198480763162
Georgia,100.0,9.037630619125348,90.96236938087465,87.96231123196137,52.82467470062433,29.96168984148217,0.1965262958388005,4.47193122759655,0.05542394328948159,0.45206522313003195,3.0000581489132845,2.8122420250225235,0.6137994913551543,0.9591651081217002,0.34726336372729183,0.021933575450161395,0.4181369136843857,0.17006732378993691,0.07382965579979452,0.012298860110989001,0.15078572806697196,0.006617784273370937,0.0007299026772100297,0.003673843475290483,0.015510431890713132,0.016301159791023995,0.0021288828085292534,0.16736668388425982,0.08758832126520356,0.019987168310934646,0.0021532128977695877,0.014841354436603938,0.010693074221126935,0.0014841354436603937,0.0044889014648416825,0.009561725071451388,0.0030169310658014563,0.00037711638322518204,0.0033332222259258026,0.0007177376325898625,0.0034305425828871396,0.0020558925408082507,0.0023843487455527637,0.0005109318740470208,0.0003041261155041791,0.00017031062468234027,3.649513386050149e-05,0.0002311358477831761,0.01740817885145921,0.006994900656596119,0.0008515531234117013,0.005109318740470208,0.0006934075433495283,0.001131349149675546,8.515531234117013e-05,0.0010826889711948774,0.0001946407139226746,1.2165044620167163e-05,0.00013381549082183878,0.00036495133860501487,0.0003041261155041791,6.082522310083581e-05,0.0003892814278453492,0.0,0.002688474861056943,0.001119184105055379,0.0010461938373343758,6.082522310083581e-05,9.73203569613373e-05,8.515531234117013e-05,0.00027979602626384474,0.0003527862939848477,0.0003527862939848477
Hawaii,100.0,8.054900705507805,91.9450992944922,74.69411413567724,23.844866143844,1.5623256236455418,0.17302459977247264,39.64581864426575,9.102651169430013,0.3654279547194622,17.250985158814956,11.868276372193217,0.26991837564505733,0.6890704685938723,3.7648422664492323,2.0546671222981128,0.38134621789852974,0.04861991253606482,0.11436926044960441,0.0692963522088753,0.02517507926689477,0.03841146114948893,0.04256405154402827,0.002941418196132035,4.29749849684879,0.04593803123959149,0.023617857868942514,4.996690904529352,0.07500616400136689,0.04213149004459709,0.030106280360410242,0.011852185084414378,0.1603072916891959,0.0888481319831647,0.005536787192719125,4.459016960736393,0.01669687387804361,0.008997279188168578,0.008651229988623632,0.003979565794766871,0.0012111721984073085,0.03849797344937517,0.001038147598634836,0.000778610698976127,0.034258870754949586,0.0004325614994311816,0.000259536899658709,0.009083791488054814,0.3577283600295872,0.025521128466439717,0.010641012886007068,0.004585151893970525,0.04766827723731622,0.0009516352987485995,0.0013841967981797812,0.23782231238726365,0.0028549058962457985,0.0004325614994311816,0.01955177977428941,0.005536787192719125,0.0,0.00017302459977247266,0.0006055860992036543,0.0,0.027856960563368095,0.02050341507303801,0.002681881296473326,0.0,0.0023358320969283806,0.0016437336978384902,0.0006920983990898906,0.0004325614994311816,0.0004325614994311816
Idaho,100.0,11.021505376344086,88.97849462365592,85.34757337983145,81.47820401046208,0.7226097064806742,1.0124237140366172,1.5263004940424296,0.1774193548387097,0.4306160999709387,3.63092124382447,3.4893199651264166,0.23358035454809647,1.5379250217959894,0.5731618715489684,0.09532112757919209,0.9543010752688171,0.016274338854984017,0.01002615518744551,0.003269398430688753,0.010897994768962511,0.008209822725951759,0.0035600116245277534,0.004359197907585005,0.03051438535309503,0.006030223772159256,0.0018889857599535017,0.12699796570764313,0.03320255739610578,0.007192676547515257,0.0014530659691950015,0.005158384190642255,0.02034292356873002,0.004867770996803255,0.005812263876780006,0.04163034001743679,0.002906131938390003,0.0010897994768962512,0.0007265329845975008,7.265329845975008e-05,0.00014530659691950015,0.0005085730892182505,0.0003632664922987504,0.0,0.0006538796861377507,7.265329845975008e-05,0.0003632664922987504,0.0004359197907585004,0.011769834350479512,0.0013804126707352513,0.0006538796861377507,0.002106945655332752,0.002034292356873002,0.0008718395815170008,7.265329845975008e-05,0.0026155187445510027,0.0004359197907585004,0.0002906131938390003,0.0,0.0006538796861377507,0.0002906131938390003,0.0,0.0002906131938390003,7.265329845975008e-05,0.0025428654460912525,0.0011624527753560012,0.0005812263876780006,0.0002179598953792502,7.265329845975008e-05,0.0003632664922987504,0.00014530659691950015,0.0002906131938390003,0.0002906131938390003
Illinois,100.0,16.203980431360907,83.7960195686391,81.24549413573861,61.23873177665734,13.564870294612644,0.1331370695783946,5.96845692506272,0.023541250040377142,0.3167568197871307,2.550525432900487,2.4256288008893274,0.4615245069513191,0.7193481973892814,0.4277627142001241,0.01799095531972748,0.5734004475637656,0.08343443036825256,0.0328717454896855,0.004290227811096769,0.061213250423597494,0.008270439160319413,0.000670035578889239,0.002480131694993004,0.02069109869734083,0.01057056129680486,0.0011100589441299332,0.11175593424010814,0.056943023674557114,0.009830522000718237,0.0013600722198348733,0.011160592627468519,0.008220436505178425,0.000920048854594179,0.002930155591261896,0.009250491201082777,0.0032201709910796264,0.00026001380673313756,0.002060109391808705,0.000620032923748251,0.0020901109848932976,0.0009500504476787718,0.0009700515097351669,0.0002400127446767423,0.00012000637233837116,0.00022001168262034715,6.000318616918558e-05,0.0003300175239305207,0.010550560234748464,0.004220224093899386,0.000620032923748251,0.003110165149769453,0.0003300175239305207,0.0004700249583252871,5.000265514098798e-05,0.0005900313306636582,0.00011000584131017357,0.0,0.00043002283421249667,0.00019001008953575433,8.000424822558077e-05,4.0002124112790386e-05,0.00022001168262034715,9.000477925377838e-05,0.0022701205434008543,0.0013500716888066758,0.000720038234030227,0.00011000584131017357,9.000477925377838e-05,0.0,0.0,0.0003200169929023231,0.0003200169929023231
